NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Gosto poseljena obmoèja;Vmesna obmoèja;Redko poseljena obmoèja
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2011;-;-;-;-
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2011;-;-;-;-
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2011;-;-;-;-
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2011;-;-;-;-
Posamezniki;2012;1570414;304906;563248;702260
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2012;1073379;223554;401722;448104
..Pošiljanje ali prejemanje e-pošte;2012;901347;199348;338252;363746
..E-banèništvo;2012;440944;86602;169330;185012
..Iskanje informacij o blagu, storitvah;2012;918957;195424;350066;373466
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2012;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2012;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2012;490290;122444;170969;196877
..Branje spletni novic, spletnih èasopisov, spletnih revij;2012;744321;159026;270307;314987
...Naroèilo na spletne èasopisove, revije;2012;-;-;-;-
..Iskanje službe, pošiljanje prošenj za službo;2012;-;-;-;-
..Iskanje informacij, povezanih z zdravjem;2012;806543;176957;296506;333081
..E-naroèanje obiska pri zdravniku;2012;52468;12028;24694;15746
..Sodelovanje v spletnih družabnih omrežjih;2012;561585;116846;217707;227032
..Sodelovanje v profesionalnih spletnih omrežjih;2012;-;-;-;-
..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;2012;-;-;-;-
..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;2012;308890;68612;136347;103930
...Telefoniranje prek interneta;2012;-;-;-;-
…Video telefoniranje s spletno kamero prek interneta;2012;-;-;-;-
..Telefoniranje prek interneta, videokonferenca;2012;-;-;-;-
..Branje in objavljanje mnenj o politiènih temah;2012;-;-;-;-
