NAMEN UPORABE INTERNETA;LETO;Število posameznikov – SKUPAJ;Najveè OŠ izobrazba;Srednja izobrazba;Vsaj visokošolska izobrazba;Moški – SKUPAJ;Moški – najveè OŠ izobrazba;Moški – srednja izobrazba;Moški – vsaj višješolska izobrazba;Ženske – SKUPAJ;Ženske – najveè OŠ izobrazba;Ženske – srednja izobrazba;Ženske – vsaj višješolska izobrazba
..Pošiljanje sporoèil v spletne klepetalnice;2009;184737;41791;87703;55243;102155;23813;51268;27074;82582;17978;36436;28169
..Pošiljanje sporoèil v novièarske skupine;2009;76699;10637;41163;24899;43071;4194;23348;15529;33628;6443;17815;9370
..Pošiljanje sporoèil v spletne forume;2009;250242;46469;126508;77264;132310;24499;72959;34852;117932;21970;53548;42413
..Branje spletnih forumov;2009;539512;76239;298478;164795;279227;38524;171977;68726;260285;37715;126501;96069
..Neposredno sporoèanje;2009;469179;88803;247934;132442;244600;48917;143970;51713;224579;39886;103964;80729
..Branje blogov;2009;388058;60290;206397;121370;210026;24461;132569;52996;178032;35829;73829;68374
..Pošiljanje komentarjev na druge bloge;2009;176750;40537;92533;43680;94157;18118;53261;22778;82594;22420;39272;20902
..Ustvarjanje in urejanje lastnega bloga;2009;120265;34964;60055;25247;65223;14778;38797;11647;55043;20185;21257;13600
..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;2009;509253;44683;250792;213777;236103;18943;140728;76432;273150;25740;110064;137345
...Uporaba spletnih strani e-uprave za pridobivanje informacij;2009;481637;38733;234498;208406;224404;15220;135205;73979;257233;23512;99293;134427
…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;2009;297792;19143;141906;136743;139601;8303;85940;45358;158191;10840;55966;91385
…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;2009;128179;8613;63467;56099;52038;-;32779;19260;76141;8613;30689;36840
Posamezniki;2010;1577092;339073;935199;302820;800709;162173;513950;124586;776383;176900;421249;178234
Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];2010;1070422;143329;641424;285668;560837;84370;360119;116347;509585;58959;281305;169321
..Pošiljanje ali prejemanje e-pošte;2010;916704;130371;511773;274560;465011;75423;277936;111652;451693;54948;233838;162907
..E-banèništvo;2010;449983;16559;250247;183177;240247;11846;148483;79918;209736;4713;101764;103259
..Iskanje informacij o blagu, storitvah;2010;892496;101430;533899;257167;481129;62479;312248;106401;411367;38950;221651;150765
…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;2010;-;-;-;-;-;-;-;-;-;-;-;-
…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;2010;-;-;-;-;-;-;-;-;-;-;-;-
..Uporaba storitev, povezanih s potovanji in nastanitvijo;2010;594238;46624;333362;214251;282860;16251;182768;83841;311378;30373;150594;130410
..Branje spletni novic, spletnih èasopisov, spletnih revij;2010;647887;77699;360219;209968;326548;42162;192554;91832;321338;35537;167665;118136
...Naroèilo na spletne èasopisove, revije;2010;94715;6662;43626;44427;47275;4599;24767;17909;47440;2063;18859;26517
..Iskanje službe, pošiljanje prošenj za službo;2010;219246;20701;136379;62166;89450;11137;55835;22478;129796;9564;80544;39688
..Iskanje informacij, povezanih z zdravjem;2010;684589;54382;415237;214970;309342;25653;205365;78325;375246;28729;209872;136645
